birth,death,dimension
7.576227664947509766e+00,9.223591804504394531e+00,1.000000000000000000e+00
5.632642745971679688e+00,7.532412528991699219e+00,1.000000000000000000e+00
5.525346279144287109e+00,5.602353096008300781e+00,1.000000000000000000e+00
5.059708595275878906e+00,5.259387969970703125e+00,1.000000000000000000e+00
4.491479396820068359e+00,5.800118446350097656e+00,1.000000000000000000e+00
4.412546634674072266e+00,5.142302036285400391e+00,1.000000000000000000e+00
3.598113775253295898e+00,3.958376407623291016e+00,1.000000000000000000e+00
3.512919187545776367e+00,3.562458276748657227e+00,1.000000000000000000e+00
3.093888998031616211e+00,4.024486064910888672e+00,1.000000000000000000e+00
3.087606668472290039e+00,3.133637905120849609e+00,1.000000000000000000e+00
3.042207479476928711e+00,3.632394075393676758e+00,1.000000000000000000e+00
2.946027517318725586e+00,3.114598512649536133e+00,1.000000000000000000e+00
2.928430557250976562e+00,3.129595756530761719e+00,1.000000000000000000e+00
2.875263690948486328e+00,3.132397174835205078e+00,1.000000000000000000e+00
2.574630498886108398e+00,4.175187110900878906e+00,1.000000000000000000e+00
2.501809120178222656e+00,2.612572669982910156e+00,1.000000000000000000e+00
2.490302085876464844e+00,3.301627874374389648e+00,1.000000000000000000e+00
2.438121318817138672e+00,2.627373456954956055e+00,1.000000000000000000e+00
2.412799358367919922e+00,3.223191976547241211e+00,1.000000000000000000e+00
2.409017562866210938e+00,2.458604812622070312e+00,1.000000000000000000e+00
2.319991827011108398e+00,2.324702262878417969e+00,1.000000000000000000e+00
2.287044048309326172e+00,2.490025043487548828e+00,1.000000000000000000e+00
2.244298934936523438e+00,2.449698925018310547e+00,1.000000000000000000e+00
2.224283456802368164e+00,2.333556413650512695e+00,1.000000000000000000e+00
2.204729795455932617e+00,2.706355571746826172e+00,1.000000000000000000e+00
2.156536579132080078e+00,2.588356733322143555e+00,1.000000000000000000e+00
2.147104024887084961e+00,2.212938785552978516e+00,1.000000000000000000e+00
2.141398906707763672e+00,2.568098545074462891e+00,1.000000000000000000e+00
2.054304122924804688e+00,2.548073291778564453e+00,1.000000000000000000e+00
1.895648479461669922e+00,2.174277067184448242e+00,1.000000000000000000e+00
1.775430679321289062e+00,1.917053222656250000e+00,1.000000000000000000e+00
1.741088747978210449e+00,2.398301124572753906e+00,1.000000000000000000e+00
1.668369531631469727e+00,1.770149469375610352e+00,1.000000000000000000e+00
1.651334047317504883e+00,1.782314538955688477e+00,1.000000000000000000e+00
1.644791483879089355e+00,1.685225844383239746e+00,1.000000000000000000e+00
1.620498061180114746e+00,1.640222191810607910e+00,1.000000000000000000e+00
1.589775443077087402e+00,1.620561957359313965e+00,1.000000000000000000e+00
1.552755236625671387e+00,1.734550118446350098e+00,1.000000000000000000e+00
1.519091129302978516e+00,1.867894291877746582e+00,1.000000000000000000e+00
1.503474950790405273e+00,1.740652203559875488e+00,1.000000000000000000e+00
1.493105769157409668e+00,2.115643739700317383e+00,1.000000000000000000e+00
1.490116119384765625e+00,1.582869887351989746e+00,1.000000000000000000e+00
1.472021102905273438e+00,1.475832343101501465e+00,1.000000000000000000e+00
1.454332470893859863e+00,1.732488036155700684e+00,1.000000000000000000e+00
1.406937837600708008e+00,1.822359442710876465e+00,1.000000000000000000e+00
1.392162322998046875e+00,1.587895512580871582e+00,1.000000000000000000e+00
1.387911796569824219e+00,1.985280275344848633e+00,1.000000000000000000e+00
1.387738466262817383e+00,1.765145659446716309e+00,1.000000000000000000e+00
1.381411194801330566e+00,1.408804059028625488e+00,1.000000000000000000e+00
1.381110429763793945e+00,2.230843067169189453e+00,1.000000000000000000e+00
1.354425668716430664e+00,1.425604820251464844e+00,1.000000000000000000e+00
