birth,death,dimension
0.000000000000000000e+00,2.022992819547653198e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.282498627901077271e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.939489781856536865e-01,0.000000000000000000e+00
0.000000000000000000e+00,3.642869889736175537e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.234194159507751465e-01,0.000000000000000000e+00
0.000000000000000000e+00,4.729492664337158203e-01,0.000000000000000000e+00
0.000000000000000000e+00,5.320281982421875000e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.384230852127075195e-01,0.000000000000000000e+00
0.000000000000000000e+00,6.404888629913330078e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.000485658645629883e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.485512495040893555e-01,0.000000000000000000e+00
0.000000000000000000e+00,7.682356238365173340e-01,0.000000000000000000e+00
0.000000000000000000e+00,8.260151147842407227e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.235826730728149414e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.540513753890991211e-01,0.000000000000000000e+00
0.000000000000000000e+00,9.942177534103393555e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.014318466186523438e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.083443164825439453e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.099705815315246582e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.238717079162597656e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.327521324157714844e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.378798723220825195e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.429723739624023438e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.437938451766967773e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.559583306312561035e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.561380743980407715e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.615033745765686035e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.706354260444641113e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.742275834083557129e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.858925819396972656e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.968373179435729980e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.989388108253479004e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.104889154434204102e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.134145975112915039e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.140366315841674805e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.211043119430541992e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.226983070373535156e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.227005720138549805e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.401625633239746094e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.421699762344360352e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.463259220123291016e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.617244005203247070e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.724222183227539062e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.855742692947387695e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.954084634780883789e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.895393371582031250e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.030754089355468750e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.269933700561523438e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.615510940551757812e+00,0.000000000000000000e+00
