x,y,z
7.114441119999999646e+05,3.082594130000000005e+05,8.948000000000000398e+01
7.114119170000000158e+05,3.082421070000000182e+05,9.339499999999999602e+01
7.114421739999999991e+05,3.082498360000000102e+05,8.980599999999999739e+01
7.114187389999999432e+05,3.082246369999999879e+05,9.075000000000000000e+01
7.114150840000000317e+05,3.082551620000000112e+05,9.385600000000000875e+01
7.114199159999999683e+05,3.082674299999999930e+05,9.378799999999999670e+01
7.114427439999999478e+05,3.082447370000000228e+05,8.992900000000000205e+01
7.114363750000000000e+05,3.082469560000000056e+05,8.993600000000000705e+01
7.114100810000000056e+05,3.082396469999999972e+05,9.352500000000000568e+01
7.114122970000000205e+05,3.082480839999999735e+05,9.388800000000000523e+01
7.114056820000000298e+05,3.082355920000000042e+05,9.393200000000000216e+01
7.114141609999999637e+05,3.082203059999999823e+05,9.092300000000000182e+01
7.114059139999999898e+05,3.082502590000000200e+05,9.546999999999999886e+01
7.114112319999999600e+05,3.082475979999999981e+05,9.409400000000000830e+01
7.114217040000000270e+05,3.082647380000000121e+05,9.308899999999999864e+01
7.114312439999999478e+05,3.082424899999999907e+05,9.013100000000000023e+01
7.114372369999999646e+05,3.082793109999999870e+05,9.159799999999999898e+01
7.114288789999999572e+05,3.082754070000000065e+05,9.279600000000000648e+01
7.114343410000000149e+05,3.082708169999999809e+05,9.148199999999999932e+01
7.114316250000000000e+05,3.082759739999999874e+05,9.222200000000000841e+01
7.114065230000000447e+05,3.082340949999999721e+05,9.368200000000000216e+01
7.114141330000000307e+05,3.082502370000000228e+05,9.351399999999999579e+01
7.114283750000000000e+05,3.082343549999999814e+05,9.039300000000000068e+01
7.114130130000000354e+05,3.082471199999999953e+05,9.348999999999999488e+01
7.114182730000000447e+05,3.082551919999999809e+05,9.302299999999999613e+01
7.114205069999999832e+05,3.082536319999999832e+05,9.252500000000000568e+01
7.114372110000000102e+05,3.082618190000000177e+05,9.042600000000000193e+01
7.114120119999999879e+05,3.082462189999999828e+05,9.374299999999999500e+01
7.114300990000000456e+05,3.082367959999999730e+05,9.034700000000000841e+01
7.114262850000000326e+05,3.082634610000000102e+05,9.215399999999999636e+01
7.114158769999999786e+05,3.082588520000000135e+05,9.393699999999999761e+01
7.114332079999999842e+05,3.082658809999999939e+05,9.102700000000000102e+01
7.114223399999999674e+05,3.082748599999999860e+05,9.407500000000000284e+01
7.114061409999999451e+05,3.082389139999999898e+05,9.425700000000000500e+01
7.114153149999999441e+05,3.082412800000000279e+05,9.258700000000000330e+01
7.114229969999999739e+05,3.082638179999999702e+05,9.279900000000000659e+01
7.114242510000000475e+05,3.082653119999999763e+05,9.267900000000000205e+01
7.114112610000000568e+05,3.082478510000000242e+05,9.405599999999999739e+01
7.114165039999999572e+05,3.082575790000000270e+05,9.355400000000000205e+01
7.114180979999999981e+05,3.082614500000000116e+05,9.367300000000000182e+01
7.114302179999999935e+05,3.082674990000000107e+05,9.182399999999999807e+01
7.114286639999999898e+05,3.082741599999999744e+05,9.281000000000000227e+01
7.114286030000000028e+05,3.082753420000000042e+05,9.292600000000000193e+01
7.114232199999999721e+05,3.082611240000000107e+05,9.252100000000000080e+01
7.114055559999999823e+05,3.082360920000000042e+05,9.408700000000000330e+01
7.114132140000000363e+05,3.082582220000000088e+05,9.438100000000000023e+01
