birth,death,dimension
5.165830135345458984e+00,5.587290763854980469e+00,1.000000000000000000e+00
5.046521186828613281e+00,5.427989959716796875e+00,1.000000000000000000e+00
5.032848358154296875e+00,5.538949966430664062e+00,1.000000000000000000e+00
4.717896461486816406e+00,6.164754867553710938e+00,1.000000000000000000e+00
4.671079635620117188e+00,5.792430400848388672e+00,1.000000000000000000e+00
3.391065359115600586e+00,5.189472198486328125e+00,1.000000000000000000e+00
3.272609472274780273e+00,3.348006725311279297e+00,1.000000000000000000e+00
