birth,death,dimension
0.000000000000000000e+00,6.922608017921447754e-01,0.000000000000000000e+00
0.000000000000000000e+00,1.153121471405029297e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.265299201011657715e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.387609124183654785e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.276331186294555664e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.368308544158935547e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.959000825881958008e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.320389986038208008e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.342757225036621094e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.700358152389526367e+00,0.000000000000000000e+00
0.000000000000000000e+00,5.858555316925048828e+00,0.000000000000000000e+00
