birth,death,dimension
7.007463455200195312e+00,9.024595260620117188e+00,1.000000000000000000e+00
6.553788661956787109e+00,7.013508319854736328e+00,1.000000000000000000e+00
3.670101404190063477e+00,4.579541683197021484e+00,1.000000000000000000e+00
3.379557609558105469e+00,3.404501914978027344e+00,1.000000000000000000e+00
3.166950225830078125e+00,3.462853193283081055e+00,1.000000000000000000e+00
3.033028602600097656e+00,3.597898483276367188e+00,1.000000000000000000e+00
2.898783683776855469e+00,3.213031530380249023e+00,1.000000000000000000e+00
2.175471782684326172e+00,2.961185216903686523e+00,1.000000000000000000e+00
