birth,death,dimension
8.356964111328125000e+00,8.705567359924316406e+00,1.000000000000000000e+00
7.007463455200195312e+00,9.024595260620117188e+00,1.000000000000000000e+00
6.572607994079589844e+00,6.990527153015136719e+00,1.000000000000000000e+00
6.553788661956787109e+00,7.013508319854736328e+00,1.000000000000000000e+00
5.455492973327636719e+00,7.548883438110351562e+00,1.000000000000000000e+00
5.116846084594726562e+00,5.150157928466796875e+00,1.000000000000000000e+00
5.078197956085205078e+00,7.643181324005126953e+00,1.000000000000000000e+00
5.058497428894042969e+00,5.484333992004394531e+00,1.000000000000000000e+00
5.046521186828613281e+00,5.427989959716796875e+00,1.000000000000000000e+00
5.032848358154296875e+00,5.538949966430664062e+00,1.000000000000000000e+00
4.803384780883789062e+00,5.543250083923339844e+00,1.000000000000000000e+00
4.800791740417480469e+00,6.047001361846923828e+00,1.000000000000000000e+00
4.717896461486816406e+00,6.164754867553710938e+00,1.000000000000000000e+00
4.671079635620117188e+00,5.587290763854980469e+00,1.000000000000000000e+00
4.624366760253906250e+00,6.378946304321289062e+00,1.000000000000000000e+00
4.609881401062011719e+00,4.984187602996826172e+00,1.000000000000000000e+00
4.336831569671630859e+00,4.577733516693115234e+00,1.000000000000000000e+00
4.327162265777587891e+00,4.433960437774658203e+00,1.000000000000000000e+00
4.269933700561523438e+00,5.563627719879150391e+00,1.000000000000000000e+00
4.253150939941406250e+00,4.854592323303222656e+00,1.000000000000000000e+00
4.214809894561767578e+00,4.334912300109863281e+00,1.000000000000000000e+00
4.124692440032958984e+00,5.792430400848388672e+00,1.000000000000000000e+00
4.095819473266601562e+00,4.223161220550537109e+00,1.000000000000000000e+00
4.026700496673583984e+00,4.756800651550292969e+00,1.000000000000000000e+00
3.996845483779907227e+00,4.860996246337890625e+00,1.000000000000000000e+00
3.934647560119628906e+00,4.380190372467041016e+00,1.000000000000000000e+00
3.908902883529663086e+00,4.760165214538574219e+00,1.000000000000000000e+00
3.895393371582031250e+00,4.186069011688232422e+00,1.000000000000000000e+00
3.763846397399902344e+00,4.144198417663574219e+00,1.000000000000000000e+00
3.700358152389526367e+00,5.741425037384033203e+00,1.000000000000000000e+00
3.670101404190063477e+00,4.579541683197021484e+00,1.000000000000000000e+00
3.633374214172363281e+00,3.675316333770751953e+00,1.000000000000000000e+00
3.628734350204467773e+00,4.800511837005615234e+00,1.000000000000000000e+00
3.624434471130371094e+00,9.586265563964843750e+00,1.000000000000000000e+00
3.600690841674804688e+00,4.130181789398193359e+00,1.000000000000000000e+00
3.544743537902832031e+00,3.557236909866333008e+00,1.000000000000000000e+00
3.391065359115600586e+00,3.411024093627929688e+00,1.000000000000000000e+00
3.379557609558105469e+00,3.404501914978027344e+00,1.000000000000000000e+00
3.362681150436401367e+00,3.475409746170043945e+00,1.000000000000000000e+00
3.314562320709228516e+00,3.672159671783447266e+00,1.000000000000000000e+00
3.272609472274780273e+00,3.348006725311279297e+00,1.000000000000000000e+00
3.195477485656738281e+00,3.440266609191894531e+00,1.000000000000000000e+00
3.166950225830078125e+00,3.462853193283081055e+00,1.000000000000000000e+00
3.057582139968872070e+00,3.481570005416870117e+00,1.000000000000000000e+00
3.023773908615112305e+00,3.135684490203857422e+00,1.000000000000000000e+00
