birth,death,dimension
0.000000000000000000e+00,1.015888333320617676e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.142499446868896484e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.692896366119384766e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.710295319557189941e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.728694915771484375e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.041459083557128906e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.100277662277221680e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.127275705337524414e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.733121395111083984e+00,0.000000000000000000e+00
0.000000000000000000e+00,2.780660629272460938e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.196506023406982422e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.248803615570068359e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.651257753372192383e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.723500013351440430e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.954648733139038086e+00,0.000000000000000000e+00
0.000000000000000000e+00,4.253150939941406250e+00,0.000000000000000000e+00
