birth,death,dimension
3.314562320709228516e+00,3.672159671783447266e+00,1.000000000000000000e+00
2.302033424377441406e+00,2.442397117614746094e+00,1.000000000000000000e+00
2.227853059768676758e+00,2.319502353668212891e+00,1.000000000000000000e+00
2.137600421905517578e+00,2.505647420883178711e+00,1.000000000000000000e+00
2.106414556503295898e+00,3.378828287124633789e+00,1.000000000000000000e+00
1.993641138076782227e+00,2.738685369491577148e+00,1.000000000000000000e+00
1.988914012908935547e+00,2.442122459411621094e+00,1.000000000000000000e+00
1.970204353332519531e+00,2.033977985382080078e+00,1.000000000000000000e+00
1.939367175102233887e+00,2.340143680572509766e+00,1.000000000000000000e+00
1.925861835479736328e+00,2.146796941757202148e+00,1.000000000000000000e+00
1.920969843864440918e+00,1.980959892272949219e+00,1.000000000000000000e+00
1.821798324584960938e+00,2.518824577331542969e+00,1.000000000000000000e+00
1.775695323944091797e+00,2.194281101226806641e+00,1.000000000000000000e+00
1.662869215011596680e+00,3.302522182464599609e+00,1.000000000000000000e+00
1.622726678848266602e+00,1.697582364082336426e+00,1.000000000000000000e+00
1.588083386421203613e+00,1.966500997543334961e+00,1.000000000000000000e+00
1.484847784042358398e+00,1.751441359519958496e+00,1.000000000000000000e+00
1.389984488487243652e+00,1.397452354431152344e+00,1.000000000000000000e+00
1.345167994499206543e+00,1.480019569396972656e+00,1.000000000000000000e+00
1.332015395164489746e+00,1.421612501144409180e+00,1.000000000000000000e+00
1.253973722457885742e+00,1.506245970726013184e+00,1.000000000000000000e+00
1.241167187690734863e+00,1.573493242263793945e+00,1.000000000000000000e+00
1.240713119506835938e+00,2.018017053604125977e+00,1.000000000000000000e+00
1.215014815330505371e+00,1.316240072250366211e+00,1.000000000000000000e+00
1.209213852882385254e+00,1.421066522598266602e+00,1.000000000000000000e+00
1.207189679145812988e+00,1.640228033065795898e+00,1.000000000000000000e+00
1.191953897476196289e+00,1.734721064567565918e+00,1.000000000000000000e+00
1.191423535346984863e+00,1.411286592483520508e+00,1.000000000000000000e+00
1.110036492347717285e+00,1.472923994064331055e+00,1.000000000000000000e+00
1.087566494941711426e+00,1.325125694274902344e+00,1.000000000000000000e+00
1.061586499214172363e+00,1.119864702224731445e+00,1.000000000000000000e+00
9.610618948936462402e-01,1.061806440353393555e+00,1.000000000000000000e+00
9.431240558624267578e-01,1.019149184226989746e+00,1.000000000000000000e+00
9.058272242546081543e-01,2.503613710403442383e+00,1.000000000000000000e+00
8.621635437011718750e-01,8.789908885955810547e-01,1.000000000000000000e+00
7.860451936721801758e-01,7.897708415985107422e-01,1.000000000000000000e+00
6.036140918731689453e-01,6.184577345848083496e-01,1.000000000000000000e+00
5.756275057792663574e-01,6.388654112815856934e-01,1.000000000000000000e+00
4.964614808559417725e-01,5.107924938201904297e-01,1.000000000000000000e+00
3.297347426414489746e-01,3.830744028091430664e-01,1.000000000000000000e+00
2.273565530776977539e-01,2.393491119146347046e-01,1.000000000000000000e+00
