birth,death,dimension
4.269933700561523438e+00,5.563627719879150391e+00,1.000000000000000000e+00
3.996845483779907227e+00,4.860996246337890625e+00,1.000000000000000000e+00
3.000019550323486328e+00,3.100723981857299805e+00,1.000000000000000000e+00
2.739016294479370117e+00,4.144833087921142578e+00,1.000000000000000000e+00
2.544870138168334961e+00,2.829970121383666992e+00,1.000000000000000000e+00
2.544092416763305664e+00,2.785148143768310547e+00,1.000000000000000000e+00
2.421699762344360352e+00,2.769062042236328125e+00,1.000000000000000000e+00
2.370614528656005859e+00,2.835225820541381836e+00,1.000000000000000000e+00
2.368515253067016602e+00,3.273777723312377930e+00,1.000000000000000000e+00
2.218300580978393555e+00,2.392613887786865234e+00,1.000000000000000000e+00
2.175471782684326172e+00,2.961185216903686523e+00,1.000000000000000000e+00
2.085483551025390625e+00,2.549790859222412109e+00,1.000000000000000000e+00
1.807193636894226074e+00,2.703667163848876953e+00,1.000000000000000000e+00
1.797912955284118652e+00,2.448183298110961914e+00,1.000000000000000000e+00
1.730312705039978027e+00,1.871737718582153320e+00,1.000000000000000000e+00
1.723207235336303711e+00,1.758861303329467773e+00,1.000000000000000000e+00
1.691526174545288086e+00,2.012218236923217773e+00,1.000000000000000000e+00
1.622726678848266602e+00,1.697582364082336426e+00,1.000000000000000000e+00
1.586619734764099121e+00,1.923156023025512695e+00,1.000000000000000000e+00
1.376911759376525879e+00,1.522468447685241699e+00,1.000000000000000000e+00
1.345167994499206543e+00,1.480019569396972656e+00,1.000000000000000000e+00
1.289899945259094238e+00,1.653979778289794922e+00,1.000000000000000000e+00
1.244548082351684570e+00,1.401197314262390137e+00,1.000000000000000000e+00
1.241167187690734863e+00,1.573493242263793945e+00,1.000000000000000000e+00
1.215014815330505371e+00,1.316240072250366211e+00,1.000000000000000000e+00
1.119289040565490723e+00,1.476136565208435059e+00,1.000000000000000000e+00
1.111195325851440430e+00,1.426865816116333008e+00,1.000000000000000000e+00
1.110036492347717285e+00,1.472923994064331055e+00,1.000000000000000000e+00
1.075085520744323730e+00,1.734721064567565918e+00,1.000000000000000000e+00
9.431240558624267578e-01,1.019149184226989746e+00,1.000000000000000000e+00
9.064617753028869629e-01,9.371131062507629395e-01,1.000000000000000000e+00
8.976101875305175781e-01,9.338720440864562988e-01,1.000000000000000000e+00
8.621635437011718750e-01,8.789908885955810547e-01,1.000000000000000000e+00
8.065810799598693848e-01,8.169632554054260254e-01,1.000000000000000000e+00
6.564396619796752930e-01,1.007812023162841797e+00,1.000000000000000000e+00
6.497768759727478027e-01,7.453784346580505371e-01,1.000000000000000000e+00
6.489014029502868652e-01,1.172546744346618652e+00,1.000000000000000000e+00
6.234075427055358887e-01,7.242271900177001953e-01,1.000000000000000000e+00
6.163668036460876465e-01,6.611762046813964844e-01,1.000000000000000000e+00
5.433424115180969238e-01,6.813031435012817383e-01,1.000000000000000000e+00
4.846741259098052979e-01,5.211429595947265625e-01,1.000000000000000000e+00
