birth,death,dimension
3.763846397399902344e+00,4.144198417663574219e+00,1.000000000000000000e+00
3.362681150436401367e+00,3.475409746170043945e+00,1.000000000000000000e+00
3.023773908615112305e+00,3.135684490203857422e+00,1.000000000000000000e+00
2.137292861938476562e+00,2.679783582687377930e+00,1.000000000000000000e+00
2.067306756973266602e+00,2.166783094406127930e+00,1.000000000000000000e+00
2.010116815567016602e+00,2.178047180175781250e+00,1.000000000000000000e+00
1.961049199104309082e+00,2.285360336303710938e+00,1.000000000000000000e+00
1.815198302268981934e+00,2.236564636230468750e+00,1.000000000000000000e+00
1.810866355895996094e+00,1.950050711631774902e+00,1.000000000000000000e+00
1.789748072624206543e+00,1.873912215232849121e+00,1.000000000000000000e+00
1.753406405448913574e+00,2.219036102294921875e+00,1.000000000000000000e+00
1.698258280754089355e+00,2.146796941757202148e+00,1.000000000000000000e+00
1.649082779884338379e+00,2.280108928680419922e+00,1.000000000000000000e+00
1.647805213928222656e+00,1.850417494773864746e+00,1.000000000000000000e+00
1.644818186759948730e+00,1.740520954132080078e+00,1.000000000000000000e+00
1.637530803680419922e+00,1.863399267196655273e+00,1.000000000000000000e+00
1.627618551254272461e+00,2.021584510803222656e+00,1.000000000000000000e+00
1.575070142745971680e+00,2.141862630844116211e+00,1.000000000000000000e+00
1.552273869514465332e+00,1.866209506988525391e+00,1.000000000000000000e+00
1.430408716201782227e+00,1.432593464851379395e+00,1.000000000000000000e+00
1.404698133468627930e+00,1.641421914100646973e+00,1.000000000000000000e+00
1.350740551948547363e+00,1.422768473625183105e+00,1.000000000000000000e+00
1.330151081085205078e+00,1.344654560089111328e+00,1.000000000000000000e+00
1.314379334449768066e+00,1.728964090347290039e+00,1.000000000000000000e+00
1.312655687332153320e+00,1.435215711593627930e+00,1.000000000000000000e+00
1.249552726745605469e+00,1.773999094963073730e+00,1.000000000000000000e+00
1.233767390251159668e+00,1.361840248107910156e+00,1.000000000000000000e+00
1.184309482574462891e+00,1.411854505538940430e+00,1.000000000000000000e+00
1.146205067634582520e+00,1.223495841026306152e+00,1.000000000000000000e+00
1.140579700469970703e+00,1.872710585594177246e+00,1.000000000000000000e+00
1.138081669807434082e+00,1.233399391174316406e+00,1.000000000000000000e+00
1.119313240051269531e+00,1.178562283515930176e+00,1.000000000000000000e+00
9.441048502922058105e-01,9.986300468444824219e-01,1.000000000000000000e+00
8.513007760047912598e-01,1.192221879959106445e+00,1.000000000000000000e+00
8.042238354682922363e-01,1.140712976455688477e+00,1.000000000000000000e+00
7.165326476097106934e-01,9.618731737136840820e-01,1.000000000000000000e+00
5.800396800041198730e-01,6.785454750061035156e-01,1.000000000000000000e+00
5.250762104988098145e-01,5.467897057533264160e-01,1.000000000000000000e+00
5.087975859642028809e-01,5.555294752120971680e-01,1.000000000000000000e+00
3.217778801918029785e-01,3.238811492919921875e-01,1.000000000000000000e+00
2.977885007858276367e-01,3.581145107746124268e-01,1.000000000000000000e+00
2.486925870180130005e-01,3.070423305034637451e-01,1.000000000000000000e+00
1.513704061508178711e-01,1.524040699005126953e-01,1.000000000000000000e+00
