All iteration feature vectors
9.483627143078480870e+00,6.706166410156169100e+00,9.990000000000000000e+02,2.080000000000000000e+02,2.869874000549316406e+00,1.972358703613281250e+00,1.878432662140641440e+01,5.866333036090308539e+00,3.969414560599226593e+00,3.154504232008604525e+00,1.021725038069942002e+03,1.132856301552096170e+02,7.206049299352513344e+02,4.088922059613445015e+01,1.315909004602013283e+03,1.156809915324620732e+02
9.489798371798952914e+00,6.654218196622859516e+00,9.990000000000000000e+02,2.110000000000000000e+02,2.967955350875854492e+00,2.831556081771850586e+00,1.816495135107336978e+01,5.911642283266692388e+00,4.174632584302868210e+00,4.043552175451484487e+00,1.062643854091182902e+03,1.304564178518795075e+02,7.114612079518858536e+02,3.801731815869896280e+01,1.347860760298559399e+03,1.266234992643664725e+02
9.482816015327758308e+00,6.890942706611125956e+00,9.990000000000000000e+02,2.230000000000000000e+02,2.938518762588500977e+00,2.072335481643676758e+00,1.830278785183475065e+01,4.624348162243518523e+00,4.112679968007884490e+00,2.657268704668559689e+00,1.061228518416975930e+03,1.337569334290053007e+02,7.104294124989459078e+02,3.692966493359942604e+01,1.363371494561452664e+03,1.330233570019100569e+02
9.457334335367066913e+00,6.869187566892838603e+00,9.990000000000000000e+02,2.120000000000000000e+02,3.817999601364135742e+00,2.419855237007141113e+00,1.867510259879919943e+01,4.814506138930688905e+00,6.090963987843935001e+00,3.251525799545380568e+00,1.108711876068519132e+03,1.257217956540603723e+02,7.121684058972726916e+02,4.014790869888486213e+01,1.370788784766431718e+03,1.230790926072950668e+02
9.480748251186358999e+00,6.793033559813104638e+00,9.990000000000000000e+02,2.100000000000000000e+02,3.201690673828125000e+00,2.568573832511901855e+00,1.871831589766092563e+01,5.282869427844828714e+00,4.677365092367274713e+00,4.019547650345824508e+00,1.051196286681956508e+03,1.244970175135970862e+02,7.194874700700814856e+02,3.893300768124898781e+01,1.374627835900645323e+03,1.272564246189437824e+02
9.480226072441073626e+00,6.772315333776174562e+00,9.990000000000000000e+02,2.090000000000000000e+02,2.592609882354736328e+00,1.783179283142089844e+00,1.835946795190713843e+01,4.689294377992267115e+00,3.408301234743471131e+00,2.435559906782239104e+00,1.033113853183235051e+03,1.198544596540037190e+02,7.089447217730647708e+02,3.469230816678023643e+01,1.317383799659088481e+03,1.180442682461553119e+02
9.486382893020905982e+00,6.830744522162579990e+00,9.990000000000000000e+02,2.240000000000000000e+02,2.795383930206298828e+00,2.303127765655517578e+00,1.879030097519125064e+01,5.348098612545335584e+00,3.815877375376764746e+00,3.310616436374904659e+00,1.098247065844116605e+03,1.359831912688764248e+02,7.210886998687835785e+02,4.170168355848904440e+01,1.337645124899718667e+03,1.330209011900276437e+02
9.478401869839810701e+00,6.867005550515957069e+00,9.990000000000000000e+02,2.100000000000000000e+02,2.997219324111938477e+00,1.630608558654785156e+00,1.812036620009506649e+01,4.827086021990000475e+00,4.236527206032219439e+00,2.516142640510432127e+00,1.112236575092667181e+03,1.193036693088746176e+02,7.049013134392076836e+02,4.250724611004172004e+01,1.372324522238840927e+03,1.242798560576479616e+02
9.504048583389597127e+00,6.762206406238870038e+00,9.990000000000000000e+02,2.240000000000000000e+02,2.969426870346069336e+00,2.627151727676391602e+00,1.822740095620160972e+01,5.119717329712776710e+00,4.177737658558401179e+00,3.636031899601681605e+00,1.063389129795916915e+03,1.465235411745853185e+02,7.187826803458591485e+02,3.403246293090768404e+01,1.395625768637306464e+03,1.427161812124644484e+02
9.480010619514805725e+00,6.842138782067223701e+00,9.990000000000000000e+02,2.070000000000000000e+02,3.178259134292602539e+00,2.980915546417236328e+00,1.907396154061019899e+01,5.362451667922006671e+00,4.626112281776598500e+00,4.386731440227403134e+00,1.065419318572371822e+03,1.174299058382084269e+02,7.239301308648234681e+02,4.060565730666687756e+01,1.371877610185707908e+03,1.305496884162517404e+02
