birth,death,dimension
2.310592412948608398e+00,2.574930191040039062e+00,1.000000000000000000e+00
2.257907390594482422e+00,2.397646665573120117e+00,1.000000000000000000e+00
2.220455884933471680e+00,2.802135705947875977e+00,1.000000000000000000e+00
2.160567760467529297e+00,2.495639324188232422e+00,1.000000000000000000e+00
2.064952611923217773e+00,2.152793884277343750e+00,1.000000000000000000e+00
2.034880399703979492e+00,2.977968215942382812e+00,1.000000000000000000e+00
2.011293649673461914e+00,2.541967153549194336e+00,1.000000000000000000e+00
1.896471142768859863e+00,2.186785697937011719e+00,1.000000000000000000e+00
1.721269607543945312e+00,2.360982179641723633e+00,1.000000000000000000e+00
1.591523528099060059e+00,2.066618919372558594e+00,1.000000000000000000e+00
1.488069176673889160e+00,1.967437624931335449e+00,1.000000000000000000e+00
1.433408141136169434e+00,2.448562145233154297e+00,1.000000000000000000e+00
1.376911759376525879e+00,1.522468447685241699e+00,1.000000000000000000e+00
1.369755029678344727e+00,2.017289876937866211e+00,1.000000000000000000e+00
1.299580335617065430e+00,2.356430768966674805e+00,1.000000000000000000e+00
1.296905875205993652e+00,1.630187988281250000e+00,1.000000000000000000e+00
1.203553438186645508e+00,1.421466827392578125e+00,1.000000000000000000e+00
1.112373113632202148e+00,1.282945871353149414e+00,1.000000000000000000e+00
9.879352450370788574e-01,1.175650477409362793e+00,1.000000000000000000e+00
9.064617753028869629e-01,9.371131062507629395e-01,1.000000000000000000e+00
8.065810799598693848e-01,8.169632554054260254e-01,1.000000000000000000e+00
7.344555854797363281e-01,7.543951272964477539e-01,1.000000000000000000e+00
6.564396619796752930e-01,1.007812023162841797e+00,1.000000000000000000e+00
6.497768759727478027e-01,7.453784346580505371e-01,1.000000000000000000e+00
6.234075427055358887e-01,7.242271900177001953e-01,1.000000000000000000e+00
6.163668036460876465e-01,6.611762046813964844e-01,1.000000000000000000e+00
4.846741259098052979e-01,5.211429595947265625e-01,1.000000000000000000e+00
