birth,death,dimension
5.377283573150634766e+00,5.762914657592773438e+00,1.000000000000000000e+00
4.784870624542236328e+00,6.009315967559814453e+00,1.000000000000000000e+00
3.851792573928833008e+00,4.217048645019531250e+00,1.000000000000000000e+00
3.769279003143310547e+00,3.876672506332397461e+00,1.000000000000000000e+00
3.640160799026489258e+00,4.069476127624511719e+00,1.000000000000000000e+00
3.629253625869750977e+00,4.736589908599853516e+00,1.000000000000000000e+00
3.439745426177978516e+00,4.872961521148681641e+00,1.000000000000000000e+00
3.393936157226562500e+00,4.534101009368896484e+00,1.000000000000000000e+00
3.284941434860229492e+00,4.172828197479248047e+00,1.000000000000000000e+00
3.183541536331176758e+00,3.378356695175170898e+00,1.000000000000000000e+00
3.061208963394165039e+00,3.214988946914672852e+00,1.000000000000000000e+00
2.884582757949829102e+00,2.921966791152954102e+00,1.000000000000000000e+00
2.828500747680664062e+00,3.201199293136596680e+00,1.000000000000000000e+00
2.435395956039428711e+00,2.717284679412841797e+00,1.000000000000000000e+00
2.247285366058349609e+00,2.641629934310913086e+00,1.000000000000000000e+00
2.193315982818603516e+00,2.776353359222412109e+00,1.000000000000000000e+00
2.191192865371704102e+00,3.092572450637817383e+00,1.000000000000000000e+00
2.123276948928833008e+00,2.169697999954223633e+00,1.000000000000000000e+00
2.122491121292114258e+00,2.179184675216674805e+00,1.000000000000000000e+00
2.078276395797729492e+00,2.115105628967285156e+00,1.000000000000000000e+00
2.025126695632934570e+00,2.043799638748168945e+00,1.000000000000000000e+00
2.014785289764404297e+00,3.406598567962646484e+00,1.000000000000000000e+00
1.991332411766052246e+00,2.539098739624023438e+00,1.000000000000000000e+00
1.967127799987792969e+00,2.079925298690795898e+00,1.000000000000000000e+00
1.951842665672302246e+00,2.238247632980346680e+00,1.000000000000000000e+00
1.916165471076965332e+00,2.343869924545288086e+00,1.000000000000000000e+00
1.863829135894775391e+00,2.027760744094848633e+00,1.000000000000000000e+00
1.863036751747131348e+00,2.415318727493286133e+00,1.000000000000000000e+00
1.856445550918579102e+00,2.069808959960937500e+00,1.000000000000000000e+00
1.729503393173217773e+00,2.420398712158203125e+00,1.000000000000000000e+00
1.724919676780700684e+00,1.782304406166076660e+00,1.000000000000000000e+00
1.717911839485168457e+00,1.936687350273132324e+00,1.000000000000000000e+00
1.687611341476440430e+00,1.764357686042785645e+00,1.000000000000000000e+00
1.651334047317504883e+00,1.782314538955688477e+00,1.000000000000000000e+00
1.627468585968017578e+00,1.963517785072326660e+00,1.000000000000000000e+00
1.627267003059387207e+00,2.006064891815185547e+00,1.000000000000000000e+00
1.593532562255859375e+00,1.644455790519714355e+00,1.000000000000000000e+00
1.537749290466308594e+00,1.557137727737426758e+00,1.000000000000000000e+00
1.504999041557312012e+00,1.576892495155334473e+00,1.000000000000000000e+00
1.502631664276123047e+00,2.555698871612548828e+00,1.000000000000000000e+00
1.479432702064514160e+00,1.654445171356201172e+00,1.000000000000000000e+00
1.472182393074035645e+00,1.479683041572570801e+00,1.000000000000000000e+00
1.447650194168090820e+00,1.816489458084106445e+00,1.000000000000000000e+00
1.441722631454467773e+00,1.725318193435668945e+00,1.000000000000000000e+00
1.434148192405700684e+00,1.550222516059875488e+00,1.000000000000000000e+00
1.433411002159118652e+00,1.927376151084899902e+00,1.000000000000000000e+00
1.392162322998046875e+00,1.587895512580871582e+00,1.000000000000000000e+00
1.380982995033264160e+00,1.767860531806945801e+00,1.000000000000000000e+00
1.380478501319885254e+00,1.923326849937438965e+00,1.000000000000000000e+00
1.369594454765319824e+00,2.333186149597167969e+00,1.000000000000000000e+00
1.351768493652343750e+00,1.468223810195922852e+00,1.000000000000000000e+00
1.348725318908691406e+00,1.475802540779113770e+00,1.000000000000000000e+00
1.316572427749633789e+00,1.723218441009521484e+00,1.000000000000000000e+00
1.312211155891418457e+00,1.389676570892333984e+00,1.000000000000000000e+00
1.301605582237243652e+00,2.409990787506103516e+00,1.000000000000000000e+00
1.259030222892761230e+00,1.676433682441711426e+00,1.000000000000000000e+00
1.256772875785827637e+00,1.360742449760437012e+00,1.000000000000000000e+00
1.249307751655578613e+00,1.491876959800720215e+00,1.000000000000000000e+00
1.244593143463134766e+00,2.459001064300537109e+00,1.000000000000000000e+00
1.244540452957153320e+00,1.351488828659057617e+00,1.000000000000000000e+00
1.244230628013610840e+00,1.429885983467102051e+00,1.000000000000000000e+00
1.229672312736511230e+00,1.249053239822387695e+00,1.000000000000000000e+00
1.192437052726745605e+00,1.489907741546630859e+00,1.000000000000000000e+00
1.170888066291809082e+00,1.317809581756591797e+00,1.000000000000000000e+00
1.169498205184936523e+00,1.395943403244018555e+00,1.000000000000000000e+00
1.161555051803588867e+00,1.242672562599182129e+00,1.000000000000000000e+00
1.150614142417907715e+00,1.831289768218994141e+00,1.000000000000000000e+00
1.146965146064758301e+00,1.494867920875549316e+00,1.000000000000000000e+00
1.090083003044128418e+00,1.168969154357910156e+00,1.000000000000000000e+00
1.066238760948181152e+00,1.258134365081787109e+00,1.000000000000000000e+00
1.065076947212219238e+00,1.195359349250793457e+00,1.000000000000000000e+00
1.039416193962097168e+00,1.123681426048278809e+00,1.000000000000000000e+00
1.037056446075439453e+00,1.350987076759338379e+00,1.000000000000000000e+00
9.690830707550048828e-01,9.725297093391418457e-01,1.000000000000000000e+00
9.516533017158508301e-01,1.059251666069030762e+00,1.000000000000000000e+00
8.940413594245910645e-01,1.121786952018737793e+00,1.000000000000000000e+00
8.641579747200012207e-01,1.054770588874816895e+00,1.000000000000000000e+00
8.578717708587646484e-01,9.988178014755249023e-01,1.000000000000000000e+00
8.184797167778015137e-01,9.444935321807861328e-01,1.000000000000000000e+00
8.104869127273559570e-01,8.245368599891662598e-01,1.000000000000000000e+00
8.086661696434020996e-01,8.867812752723693848e-01,1.000000000000000000e+00
7.788068056106567383e-01,7.935798764228820801e-01,1.000000000000000000e+00
7.693029046058654785e-01,1.073271632194519043e+00,1.000000000000000000e+00
7.674125432968139648e-01,8.235982060432434082e-01,1.000000000000000000e+00
6.797249317169189453e-01,6.814286708831787109e-01,1.000000000000000000e+00
6.676773428916931152e-01,7.341940999031066895e-01,1.000000000000000000e+00
6.556531190872192383e-01,6.846612095832824707e-01,1.000000000000000000e+00
6.307979226112365723e-01,7.182263135910034180e-01,1.000000000000000000e+00
6.270454525947570801e-01,7.436161637306213379e-01,1.000000000000000000e+00
5.176687836647033691e-01,6.908892989158630371e-01,1.000000000000000000e+00
3.942600786685943604e-01,4.278621375560760498e-01,1.000000000000000000e+00
3.825728595256805420e-01,4.176541566848754883e-01,1.000000000000000000e+00
2.252176702022552490e-01,2.267200946807861328e-01,1.000000000000000000e+00
