birth,death,dimension
6.931569099426269531e+00,7.643181324005126953e+00,1.000000000000000000e+00
3.934647560119628906e+00,4.380190372467041016e+00,1.000000000000000000e+00
3.633374214172363281e+00,3.675316333770751953e+00,1.000000000000000000e+00
3.600690841674804688e+00,4.130181789398193359e+00,1.000000000000000000e+00
2.347113370895385742e+00,2.515073299407958984e+00,1.000000000000000000e+00
2.082494974136352539e+00,2.150547981262207031e+00,1.000000000000000000e+00
1.908950805664062500e+00,2.208442687988281250e+00,1.000000000000000000e+00
1.769081711769104004e+00,1.781197667121887207e+00,1.000000000000000000e+00
1.516057014465332031e+00,2.354954242706298828e+00,1.000000000000000000e+00
1.421274781227111816e+00,1.434987783432006836e+00,1.000000000000000000e+00
1.404403448104858398e+00,1.494364380836486816e+00,1.000000000000000000e+00
