birth,death,dimension
9.418251991271972656e+00,1.165896892547607422e+01,1.000000000000000000e+00
5.914179801940917969e+00,6.177949428558349609e+00,1.000000000000000000e+00
4.253519535064697266e+00,4.409792423248291016e+00,1.000000000000000000e+00
3.983458995819091797e+00,4.441236019134521484e+00,1.000000000000000000e+00
3.465057611465454102e+00,3.496247291564941406e+00,1.000000000000000000e+00
3.320830106735229492e+00,3.434612989425659180e+00,1.000000000000000000e+00
3.282655239105224609e+00,5.889505386352539062e+00,1.000000000000000000e+00
3.023908376693725586e+00,3.713921546936035156e+00,1.000000000000000000e+00
2.965853929519653320e+00,3.291389703750610352e+00,1.000000000000000000e+00
2.760622501373291016e+00,3.945162773132324219e+00,1.000000000000000000e+00
2.147182226181030273e+00,2.530477046966552734e+00,1.000000000000000000e+00
2.106745719909667969e+00,2.636439561843872070e+00,1.000000000000000000e+00
