birth,death,dimension
5.116846084594726562e+00,5.150157928466796875e+00,1.000000000000000000e+00
4.095819473266601562e+00,4.223161220550537109e+00,1.000000000000000000e+00
4.026700496673583984e+00,4.756800651550292969e+00,1.000000000000000000e+00
3.908902883529663086e+00,4.760165214538574219e+00,1.000000000000000000e+00
3.628734350204467773e+00,4.800511837005615234e+00,1.000000000000000000e+00
3.195477485656738281e+00,3.440266609191894531e+00,1.000000000000000000e+00
3.057582139968872070e+00,3.481570005416870117e+00,1.000000000000000000e+00
2.677626609802246094e+00,2.979223012924194336e+00,1.000000000000000000e+00
2.385643959045410156e+00,2.605623483657836914e+00,1.000000000000000000e+00
2.139389753341674805e+00,2.367064714431762695e+00,1.000000000000000000e+00
2.137600421905517578e+00,2.633930206298828125e+00,1.000000000000000000e+00
2.074223279953002930e+00,2.407967567443847656e+00,1.000000000000000000e+00
2.062561750411987305e+00,2.626057624816894531e+00,1.000000000000000000e+00
1.911811947822570801e+00,2.206345558166503906e+00,1.000000000000000000e+00
1.899048686027526855e+00,1.913283586502075195e+00,1.000000000000000000e+00
1.842457652091979980e+00,2.003828763961791992e+00,1.000000000000000000e+00
1.810866355895996094e+00,1.950050711631774902e+00,1.000000000000000000e+00
1.784930825233459473e+00,1.908897280693054199e+00,1.000000000000000000e+00
1.770333886146545410e+00,1.966500997543334961e+00,1.000000000000000000e+00
1.745932698249816895e+00,2.157155752182006836e+00,1.000000000000000000e+00
1.698258280754089355e+00,2.146796941757202148e+00,1.000000000000000000e+00
1.670950651168823242e+00,1.902368545532226562e+00,1.000000000000000000e+00
1.647805213928222656e+00,1.850417494773864746e+00,1.000000000000000000e+00
1.601593255996704102e+00,1.654844403266906738e+00,1.000000000000000000e+00
1.588083386421203613e+00,1.980959892272949219e+00,1.000000000000000000e+00
1.568176031112670898e+00,1.640552639961242676e+00,1.000000000000000000e+00
1.474362611770629883e+00,1.543247580528259277e+00,1.000000000000000000e+00
1.344998478889465332e+00,2.443139314651489258e+00,1.000000000000000000e+00
1.330151081085205078e+00,1.344654560089111328e+00,1.000000000000000000e+00
1.314379334449768066e+00,1.728964090347290039e+00,1.000000000000000000e+00
1.138081669807434082e+00,1.233399391174316406e+00,1.000000000000000000e+00
1.119313240051269531e+00,1.178562283515930176e+00,1.000000000000000000e+00
9.441048502922058105e-01,9.986300468444824219e-01,1.000000000000000000e+00
7.819852828979492188e-01,7.901069521903991699e-01,1.000000000000000000e+00
6.490924358367919922e-01,1.144132018089294434e+00,1.000000000000000000e+00
5.250762104988098145e-01,5.467897057533264160e-01,1.000000000000000000e+00
5.087975859642028809e-01,5.555294752120971680e-01,1.000000000000000000e+00
